date,text,location,month,formatted_text,polarity,Subjectivity,Sentiment,Emotion
10-08-2021,#CovidVaccine @DevonESawa https://t.co/U2phylDVho,"Pennsylvania, USA",10,covidvaccine,0.0,0.0,Neutral,No emotion
10-08-2021,@Twitter: why is #MarjorieTaylorGreene not banned? Look at the vaccine misinformation she’s spreading. She has NO relevant education or experience in this area. She’s literally getting people killed. @RepMTG @TwitterSupport #COVID19 #COVIDIOTS #CovidIsNotOver #CovidVaccine https://t.co/ojwYxyCbGA,"Maryland, USA",10,marjorietaylorgreene banned look vaccine misinformation shes spreading relevant education experience area shes literally getting people killed support covid19 covidiots covidisnotover covidvaccine,0.1,0.45,Positive,positive
10-08-2021,"Reposted from @votevets Posted @withregram • @halltoons Nothing will apparently.

#votevets #covid #covidvaccine @ United States https://t.co/oEglnGTZqo","Kansas, USA",10,reposted posted nothing apparently votevets covid covidvaccine united states,0.05,0.35,Positive,No emotion
10-08-2021,"One of heroes, @Schwarzenegger is a TRUE statesman and LEADER. Thankful he is so outspoken. This statement from him is SPOT ON!

#COVID19 #CovidVaccine #arnoldschwarzenegger #strength #leadership https://t.co/87MoiC4PSG","Michigan, USA",10,heroes true statesman leader thankful outspoken statement spot covid19 covidvaccine arnoldschwarzenegger strength leadership,0.35,0.65,Positive,trust
09-08-2021,@mtgreenee being against the #CovidVaccine is the most ringing endorsement FOR getting the vaccine. #COVID19 #COVIDIOTS,"Kentucky, USA",9,covidvaccine ringing endorsement getting vaccine covid19 covidiots,0.0,0.0,Neutral,positive
09-08-2021,"I just can’t figure this out. We grew up knowing there were #vaccines that saved lives!  Why are politicizing a vaccine?   PLEASE GET THE #CovidVaccine 

I am so very sorry for her loss. 🙏🏻💔✝️ https://t.co/BSEY3JwvCl","Texas, USA",9,cant figure grew knowing vaccines saved lives politicizing vaccine please covidvaccine sorry loss,-0.5,1.0,Negative,positive
09-08-2021,Something worth listening to for anyone that is still on the fence about receiving a COVID vaccine. 🤔 #vax #CovidVaccine https://t.co/SLWDYZhRGS,"Texas, USA",9,something worth listening anyone still fence receiving covid vaccine covidvaccine,0.3,0.1,Positive,positive
09-08-2021,"Please #GetVaccinated💉, #WashYourHands, and #WearAMask #CovidVaccine https://t.co/NHwe7FeRjM","Arkansas, USA",9,please getvaccinated washyourhands wearamask covidvaccine,0.0,0.0,Neutral,No emotion
09-08-2021,"#NYC #COVID19 #coronavirus 
#CovidVaccine is available!!! https://t.co/096Obsq2Tv","Tennessee, USA",9,covid19 coronavirus covidvaccine available,0.4,0.4,Positive,No emotion
08-08-2021,Simply getting the #CovidVaccine makes sense. You are saying your life is worth more than a mild side effect if any.   Be smart and  if you are afraid then be #brave  and become your own #hero,"South Carolina, USA",8,simply getting covidvaccine makes sense saying life worth mild side effect smart afraid brave become hero,0.1746031746031746,0.5833333333333334,Positive,positive
08-08-2021,"Going on now.. @ImpactChurchJax is holding a #CovidVaccine clinic with @UFHealthJax. This comes after 6 members of the congregation, 4 of them under 35 years old, died from #COVID19 over the past 2 weeks. No appointment is necessary, and the event goes until 3. @FCN2go https://t.co/eBBnztF0mR","Florida, USA",8,going holding covidvaccine clinic comes members congregation years died covid19 past weeks appointment necessary event goes,-0.125,0.625,Negative,trust
08-08-2021,If you’re concerned about what’s in the vaccine you should really see how disgusting the soda machines are at fast food and fine dining restaurants. They are hardly ever cleaned properly. #CovidVaccine,"Pennsylvania, USA",8,youre concerned whats vaccine really disgusting soda machines fast food fine dining restaurants hardly ever cleaned properly covidvaccine,-0.135,0.5483333333333333,Negative,fear
08-08-2021,"#NowPlaying I'm so Groovy by Future on Amazon Music
@Memphis901FC (Beat OKC!)
#COVID19 #besafe
#Brazil
#CovidVaccine
#ImFullyVax 💉
#GetVaxMemphis 🤒 🤒 🤒
#DeltaPlusVariant ☠️ ☠️ ☠️ ☠️
#DefendMemphis
#FC901 
https://t.co/vlReAx8M7a","Arkansas, USA",8,nowplaying groovy future amazon music beat covid19 besafe brazil covidvaccine imfullyvax getvaxmemphis deltaplusvariant defendmemphis fc901,0.0,0.125,Neutral,No emotion
08-08-2021,"#NowPlaying Every Teardrop Is a Waterfall (Live in Buenos Aires) by Coldplay on @AmazonMusic
@Memphis901FC (GOAL!!!!)
#COVID19
#CovidVaccine
#ImFullyVax 💉
#GetVaxMemphis 🤒 🤒 🤒
#DeltaPlusVariant ☠️ ☠️ ☠️ ☠️
#DefendMemphis
#FC901 
https://t.co/S885G01es6","Arkansas, USA",8,nowplaying every teardrop waterfall live buenos aires coldplay goal covid19 covidvaccine imfullyvax getvaxmemphis deltaplusvariant defendmemphis fc901,0.1363636363636363,0.5,Positive,No emotion
08-08-2021,"#NowPlaying Yellow (Live in Buenos Aires) by Coldplay on @amazonmusic
@Memphis901FC
 (Let's Go Mem beat OKC!) 
#COVID19
#CovidVaccine
#ImFullyVax 💉
#GetVaxMemphis 🤒 🤒 🤒
#DeltaPlusVariant ☠️ ☠️ ☠️ ☠️
#DefendMemphis
#FC901 
https://t.co/dwM2rzzNWm","Arkansas, USA",8,nowplaying yellow live buenos aires coldplay lets beat covid19 covidvaccine imfullyvax getvaxmemphis deltaplusvariant defendmemphis fc901,0.0681818181818181,0.25,Positive,No emotion
